Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
53196;04/04/2015;PRFLM;ACIDENTE;SCF-NP;COM TREM DE POUSO;FLORIANÓPOLIS;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53194;26/03/2015;PRFBJ;ACIDENTE;OTHR;POUSO EM LOCAL NÃO PREVISTO;GUARACIABA DO NORTE;CE;PARTICULAR;FINALIZADA;SAIBA MAIS
53151;16/03/2015;PTMEA;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;MAUÉS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53148;12/03/2015;PPGSY;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ARARAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53149;11/03/2015;PTJEE;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;TABATINGA;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
53152;10/03/2015;PTYPB;INCIDENTE GRAVE;SCF-NP;PERDA DE COMPONENTE EM VOO;RIO DE JANEIRO;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
53114;22/02/2015;PRFLF;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PORTO BELO;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
53115;22/02/2015;PTIXS;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;UIRAMUTÃ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53108;16/02/2015;PPFHP;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;UBERLÂNDIA;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52972;07/02/2015;PTLOA;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;TAPES;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
52988;03/02/2015;PRLMB;ACIDENTE;ARC;POUSO BRUSCO;JOINVILLE;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52984;01/02/2015;PTHVO;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;NOVA LIMA;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52976;04/01/2015;PUPEK;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;TOLEDO;PR;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
52872;23/12/2014;PRACH;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;UBERABA;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
52833;16/12/2014;PPBCC;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
52833;16/12/2014;PPBCC;ACIDENTE;RE;EXCURSÃO DE PISTA;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
52692;09/11/2014;PPGBC;INCIDENTE GRAVE;SCF-NP;PERDA DE COMPONENTE NO SOLO;MARINGÁ;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52654;01/11/2014;PRYKS;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;IGARASSU;PE;PARTICULAR;FINALIZADA;SAIBA MAIS
52696;28/10/2014;PTAEW;INCIDENTE GRAVE;LOC-I;PERDA DE CONTROLE EM VOO;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
52653;28/10/2014;PTKIL;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
52694;23/10/2014;PRRQL;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52640;22/10/2014;PTWFO;ACIDENTE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
52636;11/10/2014;PPHSY;ACIDENTE;RE;EXCURSÃO DE PISTA;TATUÍ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52699;09/10/2014;PPEMO;INCIDENTE;OTHR;OUTROS;BRASÍLIA;DF;PARTICULAR;FINALIZADA;SAIBA MAIS
52634;09/10/2014;PTUFV;ACIDENTE;FUEL;PANE SECA;PARAGUAÇU PAULISTA;SP;AGRÍCOLA;FINALIZADA;SAIBA MAIS
52538;01/10/2014;PRPAS;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;BOQUIRA;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
52596;25/09/2014;PRGOR;ACIDENTE;AMAN;MANOBRA ABRUPTA;CONFINS;MG;REGULAR;FINALIZADA;SAIBA MAIS
52553;23/09/2014;PTJTN;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;SENADOR JOSÉ PORFÍRIO;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
52552;22/09/2014;PRAXK;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;PORTO SEGURO;BA;REGULAR;FINALIZADA;SAIBA MAIS
52551;16/09/2014;PRJFS;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;BELÉM;PA;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52231;13/09/2014;PTRSN;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
52279;07/09/2014;PRTOT;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;TANGARÁ DA SERRA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
52295;01/09/2014;PRGEB;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
52277;30/08/2014;PTDLA;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;CURITIBA;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
52273;23/08/2014;PTDQG;ACIDENTE;SCF-PP;COM HÉLICE;FORTALEZA;CE;PARTICULAR;FINALIZADA;SAIBA MAIS
52292;20/08/2014;PPFLF;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;RIO CLARO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52293;20/08/2014;PRGPG;INCIDENTE GRAVE;RE;POUSO LONGO;UIRAMUTÃ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
52291;19/08/2014;PTRMX;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BELÉM;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
52286;11/08/2014;PPGBK;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52264;11/08/2014;PTLZL;ACIDENTE;ARC;POUSO SEM TREM;CAMPINAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
52263;05/08/2014;PTKQM;INCIDENTE GRAVE;ARC;POUSO SEM TREM;SÃO JOSÉ DO RIO PRETO;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51752;19/07/2014;PPGCL;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51671;10/07/2014;PPFAZ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;MONTENEGRO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51753;06/07/2014;PTBVC;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BARRA DO BUGRES;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
51656;05/07/2014;PTOAI;ACIDENTE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;GUARARAPES;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51674;30/06/2014;PRROD;INCIDENTE GRAVE;ARC;POUSO SEM TREM;BELO HORIZONTE;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
51654;30/06/2014;PTNKG;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CARAZINHO;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
51653;19/06/2014;PPFLU;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;CRUZ ALTA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51653;19/06/2014;PTPJX;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;CRUZ ALTA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51568;19/06/2014;PTRUB;INCIDENTE GRAVE;RE;POUSO LONGO;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
51534;13/06/2014;PPPIM;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ARUANÃ;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
51533;11/06/2014;PTEZW;ACIDENTE;SCF-NP;COM TREM DE POUSO;BRAGANÇA PAULISTA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51537;08/06/2014;PTJJY;INCIDENTE GRAVE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SANTO ANTÔNIO DO LEVERGER;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
51414;30/05/2014;PRTKB;ACIDENTE;WILD;COLISÃO COM FAUNA;COARI;AM;REGULAR;FINALIZADA;SAIBA MAIS
51448;13/05/2014;PTLNG;INCIDENTE GRAVE;ARC;POUSO SEM TREM;SANTA INÊS;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
51449;13/05/2014;PTWHT;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;SINOP;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
51445;09/05/2014;PTGXF;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CARAZINHO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
51444;03/05/2014;PPEPV;INCIDENTE GRAVE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MARABÁ;PA;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
51010;02/05/2014;PRFPL;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;LUZIÂNIA;GO;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
51443;01/05/2014;PTJJR;INCIDENTE GRAVE;RE;POUSO LONGO;ITANHAÉM;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51033;30/04/2014;PTWPZ;INCIDENTE GRAVE;WILD;COLISÃO COM FAUNA;CORRENTINA;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
51007;24/04/2014;PROPJ;ACIDENTE;SCF-NP;COM TREM DE POUSO;SOROCABA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51008;24/04/2014;PTXBM;ACIDENTE;ARC;POUSO SEM TREM;AMERICANA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
51441;17/04/2014;PTJRS;INCIDENTE GRAVE;ARC;POUSO SEM TREM;PATROCÍNIO;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
51083;12/04/2014;PRMHA;INCIDENTE;BIRD;COLISÃO COM AVE;GOIÂNIA;GO;REGULAR;FINALIZADA;SAIBA MAIS
51027;09/04/2014;PROAL;INCIDENTE GRAVE;OTHR;POUSO EM LOCAL NÃO PREVISTO;GUARULHOS;SP;REGULAR;FINALIZADA;SAIBA MAIS
50999;28/03/2014;PROAF;ACIDENTE;SCF-NP;COM TREM DE POUSO;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
50998;28/03/2014;PTLJB;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;SANTA RITA DO ARAGUAIA;GO;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
51026;17/03/2014;PPFHN;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51025;17/03/2014;PPGMR;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;LONDRINA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51024;16/03/2014;PTMDA;INCIDENTE GRAVE;ARC;POUSO SEM TREM;VALENÇA;RJ;PARTICULAR;FINALIZADA;SAIBA MAIS
50979;11/03/2014;PTEVN;ACIDENTE;ARC;POUSO SEM TREM;SANTA ROSA DO PURUS;AC;PARTICULAR;FINALIZADA;SAIBA MAIS
51023;10/03/2014;PTEPW;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CHAVES;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
50976;02/03/2014;PTOYF;ACIDENTE;FUEL;PANE SECA;ATIBAIA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51020;28/02/2014;PTMZX;INCIDENTE GRAVE;SCF-NP;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;RIO DE JANEIRO;RJ;REGULAR;FINALIZADA;SAIBA MAIS
50810;19/02/2014;PTFED;ACIDENTE;SCF-NP;ESTOURO DE PNEU;UIRAMUTÃ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
50809;18/02/2014;PTYFV;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;RIO DE JANEIRO;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51019;16/02/2014;PRCHI;INCIDENTE GRAVE;ARC;POUSO BRUSCO;CABO FRIO;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
51054;09/02/2014;PRCTM;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
50803;07/02/2014;PRJTP;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SILVÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
51075;07/02/2014;PRVIU;INCIDENTE;OTHR;OUTROS;FORTALEZA;CE;PARTICULAR;FINALIZADA;SAIBA MAIS
51052;04/02/2014;PTCVP;INCIDENTE GRAVE;ARC;POUSO SEM TREM;BATATAIS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50801;01/02/2014;PPMCI;ACIDENTE;GCOL;COLISÃO COM AERONAVE NO SOLO;SOROCABA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
50801;01/02/2014;PTMEO;ACIDENTE;GCOL;COLISÃO COM AERONAVE NO SOLO;SOROCABA;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
50799;31/01/2014;PTVZT;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;UNAÍ;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
50797;29/01/2014;PPDFW;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CACHOEIRA DO SUL;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51015;29/01/2014;PTWGV;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;GUARUJÁ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52942;18/01/2014;PRRAU;ACIDENTE;ARC;POUSO SEM TREM;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
52935;09/01/2014;PPGRU;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SANTO ÂNGELO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51440;09/01/2014;PRSTJ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;RECIFE;PE;PARTICULAR;FINALIZADA;SAIBA MAIS
52938;08/01/2014;PPGMA;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;LONDRINA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
51439;08/01/2014;PPGSG;INCIDENTE GRAVE;ARC;POUSO BRUSCO;SANTARÉM;PA;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52814;07/01/2014;PTUME;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BOM JESUS;PI;PARTICULAR;FINALIZADA;SAIBA MAIS
52939;06/01/2014;PTGQP;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;ITAQUI;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
50347;30/12/2013;PPGQW;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CARAZINHO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50251;18/12/2013;PPGBR;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SANTO ANTÔNIO DO LEVERGER;MT;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50315;18/12/2013;PPGNQ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;PASSO FUNDO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50238;16/12/2013;PTCNL;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;TERESINA;PI;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50346;10/12/2013;PTRPS;ACIDENTE;ARC;POUSO SEM TREM;BRASÍLIA;DF;PARTICULAR;FINALIZADA;SAIBA MAIS
50343;05/12/2013;PTNXS;ACIDENTE;ARC;POUSO BRUSCO;SOROCABA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50342;04/12/2013;PTWMY;ACIDENTE;OTHR;OUTROS;NOVO PROGRESSO;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
50341;03/12/2013;PPGIJ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PALMEIRA DAS MISSÕES;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
50513;03/12/2013;PRMZP;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;SÃO JOSÉ DOS PINHAIS;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
50313;25/11/2013;PTRDP;INCIDENTE GRAVE;ARC;POUSO SEM TREM;CACOAL;RO;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
50335;20/11/2013;PTCRK;ACIDENTE;FUEL;PANE SECA;UBERABA;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
50332;08/11/2013;PTNOE;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CIANORTE;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
50322;30/10/2013;PTICT;INCIDENTE GRAVE;ARC;POUSO SEM TREM;SÃO LUÍS;MA;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
50097;27/10/2013;PRGGY;INCIDENTE GRAVE;RE;POUSO LONGO;RIO DE JANEIRO;RJ;REGULAR;FINALIZADA;SAIBA MAIS
50317;27/10/2013;PRUBJ;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;TANGARÁ DA SERRA;MT;AGRÍCOLA;FINALIZADA;SAIBA MAIS
